Date,Region,thermal_actual,thermal_est,nuclear_actual,nuclear_est,hydro_actual,hydro_est
2017-10-27,Eastern,469.9,429.63,nan,nan,63.36,47.09
2017-10-27,NorthEastern,29.16,28.62,nan,nan,17.17,19.41
2017-10-28,Northern,614.95,625.74,25.8,36.6,157.46,135.12
2017-10-28,Western,1127.02,1209.65,25.13,16.85,57.11,20.68
2017-10-28,Southern,615.28,604.0,47.73,53.9,92.06,71.45
2017-10-28,Eastern,469.9,429.2,nan,nan,63.36,42.38
2017-10-28,NorthEastern,29.16,27.32,nan,nan,17.17,19.11
2017-10-29,Northern,614.95,586.92,25.8,36.66,157.46,132.36
2017-10-29,Western,1127.02,1191.91,25.13,16.84,57.11,17.71
2017-10-29,Southern,615.28,583.51,47.73,55.06,92.06,58.36
2017-10-29,Eastern,469.9,422.93,nan,nan,63.36,41.81
2017-10-29,NorthEastern,29.16,28.06,nan,nan,17.17,19.27
2017-10-30,Northern,614.95,582.12,25.8,36.65,157.46,132.53
2017-10-30,Western,1127.02,1213.04,25.13,16.84,57.11,16.62
2017-10-30,Southern,615.28,582.53,47.73,55.46,92.06,63.28
2017-10-30,Eastern,469.9,425.51,nan,nan,63.36,40.32
2017-10-30,NorthEastern,29.16,28.94,nan,nan,17.17,19.26
2017-10-31,Northern,614.95,587.37,25.8,36.67,157.46,131.11
2017-10-31,Western,1127.02,1229.73,25.13,16.85,57.11,20.03
2017-10-31,Southern,622.28,570.04,47.73,55.57,92.06,70.49
2017-10-31,Eastern,469.9,422.94,nan,nan,63.36,41.37
2017-10-31,NorthEastern,29.16,28.6,nan,nan,17.17,19.04
2017-11-01,Northern,596.89,597.39,16.8,36.61,117.5,130.08
2017-11-01,Western,1100.43,1204.17,25.17,16.89,45.87,19.18
2017-11-01,Southern,594.88,559.27,47.83,55.68,72.56,55.19
2017-11-01,Eastern,451.11,430.68,nan,nan,36.75,39.83
2017-11-01,NorthEastern,29.11,32.12,nan,nan,12.92,17.97
2017-11-02,Northern,596.89,610.59,16.8,36.55,117.5,132.07
2017-11-02,Western,1100.43,1204.19,25.17,16.87,45.87,22.3
2017-11-02,Southern,594.88,544.18,47.83,55.78,72.56,72.05
2017-11-02,Eastern,451.11,422.37,nan,nan,36.75,40.95
2017-11-02,NorthEastern,29.11,33.99,nan,nan,12.92,16.71
2017-11-03,Northern,596.89,610.97,16.8,36.64,117.5,129.47
2017-11-03,Western,1101.82,1194.05,25.17,16.86,45.87,20.65
2017-11-03,Southern,594.88,535.8,47.83,55.96,72.56,71.23
2017-11-03,Eastern,451.11,437.55,nan,nan,36.75,40.48
2017-11-03,NorthEastern,29.11,34.66,nan,nan,12.92,15.75
2017-11-04,Northern,596.89,627.31,16.8,36.71,117.5,125.23
2017-11-04,Western,1101.82,1144.65,25.17,16.85,45.87,19.4
2017-11-04,Southern,594.88,526.38,47.83,55.46,72.56,64.01
2017-11-04,Eastern,451.11,437.3,nan,nan,36.75,39.22
2017-11-04,NorthEastern,29.11,32.35,nan,nan,12.92,15.76
2017-11-05,Northern,596.89,587.17,16.8,36.66,117.5,124.54
2017-11-05,Western,1099.82,1162.74,25.17,16.84,45.87,15.57
2017-11-05,Southern,599.07,495.74,47.83,50.14,72.56,38.31
2017-11-05,Eastern,451.11,438.22,nan,nan,36.75,37.3
2017-11-05,NorthEastern,29.11,30.87,nan,nan,12.92,14.99
2017-11-06,Northern,596.89,614.09,16.8,36.73,117.5,126.7
2017-11-06,Western,1099.82,1221.96,25.17,16.87,45.87,25.61
2017-11-06,Southern,599.07,480.35,47.83,54.9,72.56,68.93
2017-11-06,Eastern,451.11,432.52,nan,nan,36.75,40.17
2017-11-06,NorthEastern,29.11,34.79,nan,nan,12.92,15.88
2017-11-07,Northern,596.89,617.6,16.8,36.7,117.5,125.68
2017-11-07,Western,1099.82,1261.05,25.17,16.82,45.87,28.39
2017-11-07,Southern,599.07,503.14,47.83,54.99,72.56,67.16
2017-11-07,Eastern,454.86,424.32,nan,nan,36.75,39.33
2017-11-07,NorthEastern,29.11,29.06,nan,nan,12.92,16.65
2017-11-08,Northern,596.89,639.05,16.8,36.88,117.5,122.78
2017-11-08,Western,1099.82,1238.8,25.17,16.88,45.87,29.9
2017-11-08,Southern,608.86,535.91,47.83,55.23,72.56,51.5
2017-11-08,Eastern,454.86,430.26,nan,nan,36.75,37.18
2017-11-08,NorthEastern,29.11,33.27,nan,nan,12.92,16.57
2017-11-09,Northern,599.39,641.82,16.8,36.87,117.5,121.18
2017-11-09,Western,1099.82,1230.78,25.17,16.89,45.87,32.05
2017-11-09,Southern,608.86,575.15,47.83,55.53,72.56,52.96
2017-11-09,Eastern,454.86,426.79,nan,nan,36.75,35.99
2017-11-09,NorthEastern,29.11,32.8,nan,nan,12.92,14.72
2017-11-10,Northern,596.06,645.07,16.8,36.84,117.5,118.1
2017-11-10,Western,1099.82,1199.8,25.17,16.87,45.87,30.66
2017-11-10,Southern,607.08,579.19,47.83,55.51,72.56,64.16
2017-11-10,Eastern,454.86,406.17,nan,nan,36.75,37.09
2017-11-10,NorthEastern,29.11,32.1,nan,nan,12.92,15.26
2017-11-11,Northern,596.06,605.75,21.3,36.96,117.5,117.29
2017-11-11,Western,1099.82,1193.72,25.17,16.87,45.87,25.26
2017-11-11,Southern,607.08,561.02,47.83,55.44,72.56,63.44
2017-11-11,Eastern,454.86,416.83,nan,nan,36.75,35.11
2017-11-11,NorthEastern,29.11,32.08,nan,nan,12.92,15.83
2017-11-12,Northern,593.56,566.41,21.3,36.93,117.5,112.02
2017-11-12,Western,1099.82,1167.47,25.17,16.86,45.87,19.38
2017-11-12,Southern,607.08,547.24,47.83,55.69,72.56,35.6
2017-11-12,Eastern,454.86,416.21,nan,nan,36.75,34.09
2017-11-12,NorthEastern,29.11,30.1,nan,nan,12.92,15.14
2017-11-13,Northern,582.56,589.98,21.3,37.01,117.5,113.11
2017-11-13,Western,1099.82,1174.5,25.17,16.85,45.87,29.17
2017-11-13,Southern,607.08,575.82,47.83,55.56,72.56,57.2
2017-11-13,Eastern,454.86,420.78,nan,nan,36.75,38.26
2017-11-13,NorthEastern,29.11,28.7,nan,nan,12.92,15.69
2017-11-14,Northern,579.64,608.03,21.3,36.96,117.5,108.93
2017-11-14,Western,1099.82,1179.94,25.17,16.84,45.87,29.15
2017-11-14,Southern,611.55,601.88,47.83,55.6,72.56,67.54
2017-11-14,Eastern,454.86,419.03,nan,nan,36.75,38.7
2017-11-14,NorthEastern,29.11,30.15,nan,nan,12.92,16.16
2017-11-15,Northern,568.0,599.13,21.3,36.88,117.5,111.28
2017-11-15,Western,1098.68,1172.71,25.17,16.86,45.87,24.25
2017-11-15,Southern,611.55,599.82,47.83,55.54,72.56,56.87
2017-11-15,Eastern,475.92,407.92,nan,nan,36.75,37.27
2017-11-15,NorthEastern,29.11,31.16,nan,nan,12.92,15.63
2017-11-16,Northern,574.07,592.14,21.3,36.9,117.5,110.98
2017-11-16,Western,1098.68,1173.19,25.17,16.95,45.87,25.5
2017-11-16,Southern,609.54,590.86,47.83,55.53,72.56,63.02
2017-11-16,Eastern,479.32,402.75,nan,nan,36.75,34.88
2017-11-16,NorthEastern,29.11,31.84,nan,nan,12.92,15.83
2017-11-17,Northern,574.07,598.33,21.3,36.93,117.5,111.15
2017-11-17,Western,1093.3,1177.58,25.17,16.93,45.87,18.75
2017-11-17,Southern,609.54,599.42,47.83,55.49,72.56,67.7
2017-11-17,Eastern,479.32,396.23,nan,nan,36.75,39.57
2017-11-17,NorthEastern,29.11,32.61,nan,nan,12.92,15.64
2017-11-18,Northern,574.07,586.46,21.3,37.13,117.5,112.45
2017-11-18,Western,1095.61,1176.45,25.17,16.91,45.87,18.78
2017-11-18,Southern,609.54,595.39,47.83,55.35,72.56,61.42
2017-11-18,Eastern,474.02,399.44,nan,nan,36.75,36.53
2017-11-18,NorthEastern,29.11,31.69,nan,nan,12.92,15.34
2017-11-19,Northern,574.07,567.48,21.3,37.09,117.5,115.84
